127.0.0.1, 2011-11-29 18:24:03, GET, /admin/default/edit/cass1/controllers/cass_mgr.py, HTTP/1.1, 200, 0.033747
127.0.0.1, 2011-11-29 18:24:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000361
127.0.0.1, 2011-11-29 18:24:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2011-11-29 18:24:13, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.022372
127.0.0.1, 2011-11-29 18:24:31, POST, /admin/default/edit/cass1/controllers/cass_mgr.py, HTTP/1.1, 200, 0.023597
127.0.0.1, 2011-11-29 18:25:20, POST, /admin/default/edit/cass1/controllers/cass_mgr.py, HTTP/1.1, 200, 0.023329
127.0.0.1, 2011-11-29 18:25:23, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.075364
127.0.0.1, 2011-11-29 18:25:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000539
127.0.0.1, 2011-11-29 18:25:41, GET, /cass1/, HTTP/1.1, 200, 0.019599
127.0.0.1, 2011-11-29 18:25:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000372
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/, HTTP/1.1, 200, 0.015379
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/plugin_sortable/jquery.ui.core.js, HTTP/1.1, 304, 0.000541
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/js/anytime.js, HTTP/1.1, 304, 0.001326
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/css/anytime.css, HTTP/1.1, 304, 0.000471
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/plugin_sortable/jquery.ui.sortable.js, HTTP/1.1, 304, 0.001049
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/plugin_layouts/layouts/Oxidation/style.css, HTTP/1.1, 304, 0.001376
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/plugin_layouts/superfish.js, HTTP/1.1, 304, 0.000474
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000446
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/plugin_layouts/layouts/Oxidation/images/img06.gif, HTTP/1.1, 304, 0.001655
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/plugin_layouts/layouts/Oxidation/images/img02.jpg, HTTP/1.1, 304, 0.002693
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/plugin_layouts/layouts/Oxidation/images/img04.gif, HTTP/1.1, 304, 0.002893
127.0.0.1, 2011-11-29 18:25:43, GET, /cass1/static/plugin_layouts/layouts/Oxidation/images/img07.gif, HTTP/1.1, 304, 0.001482
